b,PPn,RRn,TTn,PR,RT,PT,TPn
3,928,1144,1144,114,383,500,1644
4,1383,1161,1167,111,389,500,1883
5,1172,1172,1172,111,389,500,1672
6,1150,1150,1145,111,384,495,1645
7,1189,1195,1194,117,383,500,1689
8,1189,1183,1189,111,389,500,1689
9,1200,1200,1200,111,389,500,1700
10,1217,1222,1222,116,389,505,1722
11,1200,1195,1195,111,389,500,1700
12,1180.8,1183,1183,113.2,389,502.2,1683
13,1213.2,1217,1217,117,389,506,1719.2
14,1184,1178,1178,111,389,500,1684
15,1166,1166,1172,111,395,506,1672
16,1189,1195,1189,117,389,506,1695
17,1156,1150,1150,111,389,500,1656
18,1072,1133,1133,111,389,500,1633
19,1211,1150,1150,111,389,500,1711
20,1050,1128,1128,111,389,500,1628
21,1183,1105,1105,111,389,500,1683
22,1100,1106,1100,117,383,500,1600
23,1123,1117,1123,111,389,500,1623
24,1122,1127,1122,116,384,500,1622
25,1178,1178,1183,116,389,505,1683
26,1072,1172,1172,113.5,389,502.5,1677
27,1239,1134,1134,111,389,500,1739
28,1183,1194,1189,122,384,506,1689
29,1180.8,1195,1200,136.2,389,525.2,1706
30,952.2,1155,1155,123.6,389,512.6,1680.2
31,1417,1189,1189,111,389,500,1917
32,1217,1217,1217,111,389,500,1717
33,1177,1178,1177,112,388,500,1677
34,1195,1194,1195,111,389,500,1695
35,1205,1211,1211,117,389,506,1711
36,1145,1139,1139,111,389,500,1645
37,1155,1156,1155,112,388,500,1655
38,1139,1144,1139,117,383,500,1639
39,995,1106,1106,114,383,500,1606
40,1250,1133,1139,111,389,500,1750
41,1128,1128,1128,111,389,500,1628
42,1033,1100,1094,111,383,500,1594
43,1167,1100,1106,111,389,500,1667
44,1100,1105,1094,116,378,494,1594
45,1105,1100,1106,111,384,495,1600
46,1156,1156,1161,111,389,500,1656
47,1177,1183,1183,117,389,506,1683
48,1150,1150,1150,117,389,506,1656
49,1195,1195,1194,117,388,505,1700
50,1183,1177,1178,111,389,500,1683
51,1128,1128,1128,111,389,500,1628
52,1122,1128,1128,117,389,506,1628
53,1134,1133,1128,116,384,500,1634
54,1111,1106,1105,111,383,494,1605
55,1089,1094,1095,116,384,500,1589
56,1133,1134,1133,117,383,500,1633
57,1128,1127,1122,116,378,494,1622
58,1161,1156,1167,111,389,500,1661
59,1216,1222,1216,117,383,500,1716
60,1195,1195,1195,117,383,500,1695
61,1239,1233,1239,111,389,500,1739
62,1000,1228,1228,152.5,389,541.5,1728
63,1311,1166,1166,131.75,389,517.75,1894
64,1261,1178,1172,111,383,494,1755
65,1089,1167,1173,149.9,389,532.9,1667
66,1111.2,1111,1105,130.45,383,513.45,1683
67,1149.8,1072,1072,111,383,494,1643.8
68,1006,1011,1006,116,378,494,1500
69,961,967,967,122,378,500,1461
70,950,950,944,122,372,494,1444
71,966.8,939,933,94.2,366,460.2,1427
72,991.9,878,878,102.6,366,471.6,1338.2
73,1017,916,922,111,372,483,1500
74,983,989,984,117,367,484,1467
75,916.5,883,878,192,362,558.5,1362
76,850,873,877,191.1,366,560.35,1483
77,937.8,861,867,151.05,372,519.175,1500
78,912.2,833,828,111,367,478,1390.2
79,911.6,817,817,111,355,475,1386.6
80,911,797.5,792,111,361,472,1383
